Text,Type
Tenofovir,DRUG
Oprymea,DRUG
Imnovid,DRUG
Opdivo,DRUG
Immunate,DRUG
Imipramine,DRUG
Onelar,DRUG
Temozolomide,DRUG
Tenerel,DRUG
Implicor,DRUG
Onglyza,DRUG
Imovax,DRUG
Imodium,DRUG
Opatanol,DRUG
Tepadina,DRUG
Optivate,DRUG
Testim,DRUG
Optodrop,DRUG
Testogel,DRUG
Incruse,DRUG
Imuran,DRUG
Abasaglar,DRUG
Imuprin,DRUG
Abernil,DRUG
Abilify,DRUG
Imunofar,DRUG
Importal,DRUG
Tenomet,DRUG
Abraxane,DRUG
Tenoretic,DRUG
Tenormin,DRUG
Tenoviral,DRUG
Increlex,DRUG
Optison,DRUG
Tentil,DRUG
Incivo,DRUG
Thalidomide,DRUG
Orizal,DRUG
Thelmox,DRUG
Ceftrix,DRUG
Inegy,DRUG
Indylon,DRUG
Indoxyl,DRUG
Indorem,DRUG
Tetraxim,DRUG
Orencia,DRUG
Tevagrastim,DRUG
Orfenal,DRUG
Teveten,DRUG
Orgalutran,DRUG
Teysuno,DRUG
Osigraft,DRUG
Osmoran,DRUG
Ostiral,DRUG
Otezla,DRUG
Cellcept,DRUG
Inlyta,DRUG
Injosetron,DRUG
Celebrex,DRUG
Injexate,DRUG
Cefuroxime,DRUG
Influvac,DRUG
Inflectra,DRUG
Infanrix,DRUG
Infacol,DRUG
Theo,DRUG
Thilocof,DRUG
Oroperidys,DRUG
Thiopental,DRUG
Thymoseptine,DRUG
Orospar,DRUG
Thyrogen,DRUG
Otrivin,DRUG
Ovitrelle,DRUG
Oxaliplatin,DRUG
Cencipral,DRUG
Integrilin,DRUG
Celsentri,DRUG
Insulatard,DRUG
Instillagel,DRUG
Celmantin,DRUG
Inspra,DRUG
Inovelon,DRUG
Inomax,DRUG
Otopax,DRUG
Oxaviatin,DRUG
Oxcarbazepine,DRUG
Oxis,DRUG
Certican,DRUG
Intralipid,DRUG
Interbion,DRUG
Cernevit,DRUG
Intelence,DRUG
Intelecta,DRUG
Cerezyme,DRUG
Ceretec,DRUG
Ceprotin,DRUG
Oxatrex,DRUG
Viread,DRUG
Champix,DRUG
Invirase,DRUG
Invega,DRUG
Cetrotide,DRUG
Invanz,DRUG
Introna,DRUG
Cetirizine,DRUG
Cetirizin,DRUG
Intratect,DRUG
Cervarix,DRUG
Oxofenil,DRUG
Oxycontin,DRUG
Visipaque,DRUG
Cholestagel,DRUG
Irbesartan,DRUG
Chlorpromazine,DRUG
Ipratropium,DRUG
Chloroquine,DRUG
Ipolipid,DRUG
Chloramphenicol,DRUG
Chemiderm,DRUG
Ipecavom,DRUG
Invokana,DRUG
Virucid,DRUG
Visannette,DRUG
Vitamin,DRUG
Vitaros,DRUG
Cilest,DRUG
Irinotecan,DRUG
Cifex,DRUG
Cialis,DRUG
Iressa,DRUG
Choriomon,DRUG
Cholib,DRUG
Vispring,DRUG
Vistabel,DRUG
Vistamethasone,DRUG
Visudyne,DRUG
Vitalipid,DRUG
Vokanamet,DRUG
Rebif,DRUG
Cinacalcet,DRUG
Cimzia,DRUG
Ciloxan,DRUG
Cilox,DRUG
Cilodral,DRUG
Iritec,DRUG
Vivace,DRUG
Vividrin,DRUG
Vizarsin,DRUG
Vofenac,DRUG
Cinnaron,DRUG
Voltaren,DRUG
Refacto,DRUG
Refalin,DRUG
Regaine,DRUG
Ciproflox,DRUG
Cipralex,DRUG
Cipocal,DRUG
Volibris,DRUG
Recofol,DRUG
Rectogesic,DRUG
Voncento,DRUG
Relief,DRUG
Voriconazole,DRUG
Relistor,DRUG
Relvar,DRUG
Ciprofloxacin,DRUG
Reglin,DRUG
Volulyte,DRUG
Votubia,DRUG
Remedol,DRUG
Vpriv,DRUG
Vyndaqel,DRUG
Warfant,DRUG
Votrient,DRUG
Remeclor,DRUG
Remedium,DRUG
Warfarin,DRUG
Remeprazole,DRUG
Remeron,DRUG
Remethan,DRUG
Warimazol,DRUG
Water,DRUG
Aldara,DRUG
Aldosomnil,DRUG
Aldurazyme,DRUG
Alecensa,DRUG
Alendronic,DRUG
Alergical,DRUG
Alertan,DRUG
Alfinor,DRUG
Alfoxan,DRUG
Wellbutrin,DRUG
Remicade,DRUG
Xagrid,DRUG
Remidine,DRUG
Xalatan,DRUG
Remsima,DRUG
Xalkori,DRUG
Remycin,DRUG
Xamiol,DRUG
Renagel,DRUG
Xanax,DRUG
Renax,DRUG
Alfural,DRUG
Alfuzosin,DRUG
Algofen,DRUG
Repaglinide,DRUG
Xarelto,DRUG
Repatha,DRUG
Replenine,DRUG
Reprat,DRUG
Xatral,DRUG
Renvela,DRUG
Algofrenelle,DRUG
Alimax,DRUG
Alimta,DRUG
Almiral,DRUG
Resonium,DRUG
Respreeza,DRUG
Restatin,DRUG
Restropinal,DRUG
Retacrit,DRUG
Resolor,DRUG
Resolve,DRUG
Almora,DRUG
Alopron,DRUG
Aloxi,DRUG
Revatio,DRUG
Revlimid,DRUG
Revolade,DRUG
Flucozal,DRUG
Fluarix,DRUG
Alphaderm,DRUG
Altargo,DRUG
Alutril,DRUG
Alverix,DRUG
Alvesco,DRUG
Alzedem,DRUG
Floxaval,DRUG
Floxasynt,DRUG
Flogostop,DRUG
Flixotide,DRUG
Rezavir,DRUG
Rezolsta,DRUG
Fludex,DRUG
Reyataz,DRUG
Amant,DRUG
Amaryl,DRUG
Amben,DRUG
Fludarabine,DRUG
Fludara,DRUG
Ambisome,DRUG
Amesol,DRUG
Amicor,DRUG
Fluorouracil,DRUG
Flunol,DRUG
Flumazenil,DRUG
Fluibron,DRUG
Amika,DRUG
Flutan,DRUG
Flusterix,DRUG
Aminophylline,DRUG
Amiodarone,DRUG
Flutinasal,DRUG
Flutiform,DRUG
Fluticapen,DRUG
Amirol,DRUG
Amlobe,DRUG
Fluxil,DRUG
Amlodipine,DRUG
Fluvoxamine,DRUG
Fluvastatin,DRUG
Folic,DRUG
Fodren,DRUG
Amlorine,DRUG
Amodiaquine,DRUG
Amoduo,DRUG
Foradil,DRUG
Amoxapen,DRUG
Foliron,DRUG
Folifer,DRUG
Folicil,DRUG
Forsteo,DRUG
Formopen,DRUG
Forceval,DRUG
Foravate,DRUG
Fosavance,DRUG
Forxiga,DRUG
Forvel,DRUG
Fortzaar,DRUG
Fortum,DRUG
Fortrans,DRUG
Fosrenol,DRUG
Fostimon,DRUG
Foster,DRUG
Fragmin,DRUG
Fouch,DRUG
Frumeron,DRUG
Frenolyn,DRUG
Fraxiparine,DRUG
Frisium,DRUG
Fugentin,DRUG
Fucithalmic,DRUG
Fucidin,DRUG
Fucicort,DRUG
Frusol,DRUG
Frumil,DRUG
Oxynorm,DRUG
Ozapram,DRUG
Paclitaxel,DRUG
Oxytocin,DRUG
Palexia,DRUG
Isoflurane,DRUG
Pamecil,DRUG
Isentress,DRUG
Isoptin,DRUG
Isoplex,DRUG
Isoket,DRUG
Panadol,DRUG
Isotroin,DRUG
Isosorbide,DRUG
Isorem,DRUG
Isopto,DRUG
Pamidronate,DRUG
Istopril,DRUG
Pantoprazole,DRUG
Januvia,DRUG
Jakavi,DRUG
Panagesic,DRUG
Pantoflux,DRUG
Janumet,DRUG
Pantogar,DRUG
Parcoten,DRUG
Pariet,DRUG
Cisplatin,DRUG
Jumex,DRUG
Jevtana,DRUG
Jentadueto,DRUG
Cisatracurium,DRUG
Jardiance,DRUG
Circadin,DRUG
Ciproxin,DRUG
Paracen,DRUG
Paracetamol,DRUG
Jetrea,DRUG
Peditrace,DRUG
Pegasys,DRUG
Clasteon,DRUG
Karvezide,DRUG
Clarityne,DRUG
Karvea,DRUG
Kapetral,DRUG
Claripen,DRUG
Kalms,DRUG
Kaletra,DRUG
Clarem,DRUG
Clarantin,DRUG
Kadcyla,DRUG
Claforan,DRUG
Paroticin,DRUG
Paroxetine,DRUG
Pecfent,DRUG
Pemetrexed,DRUG
Penemer,DRUG
Clexane,DRUG
Ketek,DRUG
Keppra,DRUG
Cleron,DRUG
Clenil,DRUG
Cleen,DRUG
Clavomid,DRUG
Keflex,DRUG
Pegintron,DRUG
Clomentin,DRUG
Kirin,DRUG
Kiovig,DRUG
Kineret,DRUG
Clobex,DRUG
Keytruda,DRUG
Clinimix,DRUG
Clindamycin,DRUG
Ketipine,DRUG
Clift,DRUG
Penhexal,DRUG
Penodil,DRUG
Xigduo,DRUG
Clopixol,DRUG
Kogenate,DRUG
Clopidogrel,DRUG
Klysmol,DRUG
Klont,DRUG
Cloperan,DRUG
Klerimed,DRUG
Xgeva,DRUG
Xiapex,DRUG
Clonotril,DRUG
Clomipramine,DRUG
Clomethiazole,DRUG
Kivexa,DRUG
Kivala,DRUG
Kisqali,DRUG
Xeloda,DRUG
Xenical,DRUG
Xeplion,DRUG
Xyzal,DRUG
Coalimax,DRUG
Korandil,DRUG
Clozarem,DRUG
Konakion,DRUG
Cloxacillin,DRUG
Komboglyze,DRUG
Xyrem,DRUG
Clovelen,DRUG
Xofigo,DRUG
Xolair,DRUG
Xtandi,DRUG
Xultophy,DRUG
Yondelis,DRUG
Rhinocort,DRUG
Zabysept,DRUG
Riastap,DRUG
Zaditen,DRUG
Codalis,DRUG
Coaprovel,DRUG
Kovaltry,DRUG
Yasmin,DRUG
Yasminelle,DRUG
Yellox,DRUG
Yervoy,DRUG
Yodafar,DRUG
Zanedip,DRUG
Ribavirin,DRUG
Zaneril,DRUG
Codeine,DRUG
Codanol,DRUG
Zafibral,DRUG
Zafitral,DRUG
Zalasta,DRUG
Zaltrap,DRUG
Colpocin,DRUG
Zarzio,DRUG
Ridoca,DRUG
Zavedos,DRUG
Zebinix,DRUG
Zeffix,DRUG
Concerta,DRUG
Conbriza,DRUG
Comycin,DRUG
Comtrex,DRUG
Comtan,DRUG
Combivir,DRUG
Colmifen,DRUG
Colchicine,DRUG
Zantac,DRUG
Zaolin,DRUG
Zenalb,DRUG
Rifasynt,DRUG
Zenavil,DRUG
Rilcapton,DRUG
Zelboraf,DRUG
Zemplar,DRUG
Rifaren,DRUG
Risparet,DRUG
Zentan,DRUG
Amoxicillin,DRUG
Rilutek,DRUG
Amoxil,DRUG
Riluzole,DRUG
Ringer,DRUG
Rinosol,DRUG
Ampicillin,DRUG
Zepilen,DRUG
Zerbaxa,DRUG
Risperdal,DRUG
Zerit,DRUG
Zestaval,DRUG
Zestoretic,DRUG
Zestril,DRUG
Anabact,DRUG
Anafranil,DRUG
Analgiser,DRUG
Anapen,DRUG
Zepatier,DRUG
Anargil,DRUG
Risperidone,DRUG
Zidonil,DRUG
Zidoval,DRUG
Zildon,DRUG
Zilisten,DRUG
Zinacef,DRUG
Ziagen,DRUG
Anastrozole,DRUG
Androcur,DRUG
Androxil,DRUG
Anervan,DRUG
Angeliq,DRUG
Angiox,DRUG
Zevalin,DRUG
Anoro,DRUG
Ritemvia,DRUG
Rithroclad,DRUG
Antibacin,DRUG
Anticold,DRUG
Antifungol,DRUG
Antivom,DRUG
Apidra,DRUG
Rivastigmine,DRUG
Roactemra,DRUG
Apipral,DRUG
Aponil,DRUG
Rofy,DRUG
Apotel,DRUG
Apresoline,DRUG
Aprovel,DRUG
Aproxal,DRUG
Abseamed,DRUG
Abstral,DRUG
Aranesp,DRUG
Acapril,DRUG
Acarilbial,DRUG
Accofil,DRUG
Accupron,DRUG
Aceclonac,DRUG
Aceprotin,DRUG
Acetazolamide,DRUG
Acetylcysteine,DRUG
Acic,DRUG
Aciclovir,DRUG
Arava,DRUG
Archifar,DRUG
Arcoxia,DRUG
Aclasta,DRUG
Acnatac,DRUG
Actifed,DRUG
Actilyse,DRUG
Actonel,DRUG
Aremed,DRUG
Areston,DRUG
Arfarel,DRUG
Arfen,DRUG
Actonorm,DRUG
Actrapid,DRUG
Adaferin,DRUG
Adalat,DRUG
Adcetris,DRUG
Addamel,DRUG
Adempas,DRUG
Adenosan,DRUG
Adenosine,DRUG
Adenuric,DRUG
Adeprenal,DRUG
Adizem,DRUG
Adrenaline,DRUG
Adriblastina,DRUG
Advagraf,DRUG
Advantan,DRUG
Advate,DRUG
Advecit,DRUG
Penopen,DRUG
Penrazol,DRUG
Pensordil,DRUG
Pentasa,DRUG
Pentaxim,DRUG
Peptomet,DRUG
Perjeta,DRUG
Perofen,DRUG
Persantin,DRUG
Perazodin,DRUG
Perazone,DRUG
Pevisone,DRUG
Pharmexin,DRUG
Phenergan,DRUG
Phenobarbital,DRUG
Phenylephrine,DRUG
Pethidine,DRUG
Petilin,DRUG
Kratium,DRUG
Picoprep,DRUG
Pilocarpine,DRUG
Pimaxef,DRUG
Phenytoin,DRUG
Krelin,DRUG
Pholcodine,DRUG
Phyllocontin,DRUG
Physiotens,DRUG
Kyprolis,DRUG
Piperacillin,DRUG
Kymazol,DRUG
Lacosamide,DRUG
Labovir,DRUG
Pinexel,DRUG
Labetalol,DRUG
Piriglim,DRUG
Lacromid,DRUG
Piraleps,DRUG
Lactated,DRUG
Platel,DRUG
Platorel,DRUG
Lamictal,DRUG
Contro,DRUG
Lambrinex,DRUG
Contractubex,DRUG
Concor,DRUG
Lakafin,DRUG
Lactulose,DRUG
Pirodal,DRUG
Pizogran,DRUG
Plaquenil,DRUG
Plarel,DRUG
Plasbumin,DRUG
Plavix,DRUG
Plazeron,DRUG
Converide,DRUG
Lamosynt,DRUG
Lamivudine,DRUG
Lamisil,DRUG
Controloc,DRUG
Polygynax,DRUG
Ponstan,DRUG
Porphyrocin,DRUG
Converium,DRUG
Lanso,DRUG
Lanoxin,DRUG
Lamotrix,DRUG
Plegridy,DRUG
Plendil,DRUG
Corycardon,DRUG
Lapozan,DRUG
Cortiment,DRUG
Corotrope,DRUG
Corneax,DRUG
Cordarone,DRUG
Lantus,DRUG
Copegus,DRUG
Copaxone,DRUG
Positon,DRUG
Potassium,DRUG
Cotovetol,DRUG
Lassen,DRUG
Cotellic,DRUG
Cosyrel,DRUG
Lasoprol,DRUG
Lasix,DRUG
Zinnat,DRUG
Costi,DRUG
Cosopt,DRUG
Cosentyx,DRUG
Zindaclin,DRUG
Zindolin,DRUG
Zinfect,DRUG
Zocor,DRUG
Counterpain,DRUG
Lecalcif,DRUG
Cotroval,DRUG
Lavifent,DRUG
Zobral,DRUG
Cotrim,DRUG
Lataz,DRUG
Zirex,DRUG
Zithromax,DRUG
Zithrotel,DRUG
Zolaram,DRUG
Zoledronic,DRUG
Credanil,DRUG
Cozaar,DRUG
Coversyl,DRUG
Coveram,DRUG
Lecosyl,DRUG
Zoely,DRUG
Zofran,DRUG
Zoladex,DRUG
Zometa,DRUG
Ropinirole,DRUG
Zomig,DRUG
Curosurf,DRUG
Cubicin,DRUG
Cromohexal,DRUG
Cromodal,DRUG
Crixivan,DRUG
Crinone,DRUG
Crestor,DRUG
Creon,DRUG
Rolenium,DRUG
Zoloft,DRUG
Zolpidem,DRUG
Zotron,DRUG
Ropivacaine,DRUG
Zovar,DRUG
Cymbalta,DRUG
Cyclovax,DRUG
Cyclogyl,DRUG
Cyclogest,DRUG
Cyclacur,DRUG
Cutivate,DRUG
Zonegran,DRUG
Zormid,DRUG
Zydelig,DRUG
Rotarix,DRUG
Zykalor,DRUG
Rotateq,DRUG
Rotaxin,DRUG
Medopexol,DRUG
Cymevene,DRUG
Ropramin,DRUG
Zovirax,DRUG
Rosuvador,DRUG
Zypadhera,DRUG
Roteq,DRUG
Zyprexa,DRUG
Medoquip,DRUG
Medopred,DRUG
Medoprazole,DRUG
Argofan,DRUG
Medophenicol,DRUG
Aricept,DRUG
Arimidex,DRUG
Zylapour,DRUG
Aripiprazole,DRUG
Zyloric,DRUG
Zytiga,DRUG
Rotren,DRUG
Zyvoxid,DRUG
Rovasyn,DRUG
Medorphan,DRUG
Medoril,DRUG
Arixtra,DRUG
Zyrtec,DRUG
Arketis,DRUG
Medovir,DRUG
Medoverine,DRUG
Medovent,DRUG
Medotramol,DRUG
Medostatin,DRUG
Arnetin,DRUG
Arotan,DRUG
Arpilif,DRUG
Rowachol,DRUG
Rowatinex,DRUG
Roxitan,DRUG
Rubocord,DRUG
Rufan,DRUG
Rulid,DRUG
Medsamic,DRUG
Medrol,DRUG
Arthrinal,DRUG
Arvekap,DRUG
Asacol,DRUG
Aspendos,DRUG
Aspirem,DRUG
Rupan,DRUG
Ruvominox,DRUG
Rycardon,DRUG
Melgesic,DRUG
Melenor,DRUG
Aspirin,DRUG
Aspro,DRUG
Atacand,DRUG
Mekinist,DRUG
Rupafin,DRUG
Melorem,DRUG
Sabervel,DRUG
Sabril,DRUG
Saflutan,DRUG
Melox,DRUG
Rythmonorm,DRUG
Ataline,DRUG
Atarax,DRUG
Atehexal,DRUG
Memantine,DRUG
Melphalan,DRUG
Atenolol,DRUG
Atodel,DRUG
Atorstan,DRUG
Memini,DRUG
Mentifar,DRUG
Menopur,DRUG
Meningococcal,DRUG
Atorvastatin,DRUG
Meni,DRUG
Menaderm,DRUG
Meriofert,DRUG
Mepact,DRUG
Menveo,DRUG
Merobact,DRUG
Merional,DRUG
Atracurium,DRUG
Atripla,DRUG
Atronate,DRUG
Atropine,DRUG
Atrovent,DRUG
Aubagio,DRUG
Audax,DRUG
Augmentin,DRUG
